Model,Recall
1,0.1801483574708583
2,0.5411515365595196
3,0.596255740021194
4,0.6541858000706464
5,0.6623101377605086
6,0.6640762981278701
7,0.6640762981278701
9,0.6647827622748146
8,0.6654892264217591
10,0.6658424584952314
11,0.6732603320381491
13,0.6799717414341222
12,0.6803249735075945
14,0.6813846697280113
15,0.6838572942423172
16,0.6838572942423172
17,0.6863299187566231
20,0.6873896149770399
21,0.6898622394913458
19,0.6912751677852349
18,0.6919816319321794
22,0.6955139526669022
25,0.697986577181208
26,0.697986577181208
23,0.6990462734016248
28,0.6990462734016248
27,0.7008124337689863
24,0.7011656658424585
30,0.7022253620628753
29,0.7032850582832921
31,0.7689862239491346
32,0.7703991522430237
37,0.7905333804309431
40,0.7933592370187214
38,0.7933592370187214
34,0.7933592370187214
33,0.7933592370187214
35,0.7937124690921936
36,0.7947721653126104
39,0.7951253973860827
41,0.796891557753444
42,0.7972447898269163
43,0.8194984104556694
47,0.8198516425291417
44,0.8198516425291417
46,0.8219710349699753
45,0.823030731190392
48,0.8237371953373366
50,0.8244436594842812
57,0.8251501236312258
49,0.825503355704698
58,0.8262098198516425
59,0.8276227481455316
53,0.8276227481455316
54,0.8279759802190039
52,0.8286824443659484
51,0.8297421405863652
61,0.8297421405863652
56,0.8300953726598375
55,0.8304486047333098
63,0.8311550688802544
60,0.8315083009537266
62,0.8318615330271989
64,0.8382197103496998
66,0.8396326386435888
68,0.8399858707170611
70,0.8428117273048393
65,0.8428117273048393
69,0.8431649593783116
67,0.8442246555987284
79,0.8551748498763688
77,0.8551748498763688
71,0.8555280819498411
73,0.8555280819498411
76,0.8555280819498411
72,0.8558813140233134
75,0.8565877781702579
80,0.8569410102437302
78,0.8576474743906747
81,0.858000706464147
74,0.858000706464147
82,0.8583539385376192
83,0.8601200989049805
86,0.8664782762274814
88,0.8668315083009537
90,0.8671847403744259
87,0.8675379724478983
89,0.8675379724478983
91,0.8678912045213706
97,0.8678912045213706
85,0.8685976686683151
93,0.8689509007417874
95,0.8689509007417874
116,0.8693041328152596
115,0.8693041328152596
84,0.8693041328152596
94,0.8700105969622042
108,0.8707170611091487
98,0.8707170611091487
92,0.8707170611091487
114,0.871070293182621
106,0.8714235252560932
133,0.8717767573295655
109,0.8717767573295655
107,0.8721299894030378
99,0.8721299894030378
111,0.87248322147651
103,0.8728364535499823
131,0.8728364535499823
129,0.8728364535499823
100,0.8731896856234546
122,0.8735429176969269
101,0.8735429176969269
96,0.8735429176969269
119,0.8735429176969269
130,0.8738961497703992
117,0.8738961497703992
123,0.8742493818438715
110,0.8742493818438715
104,0.8742493818438715
113,0.8742493818438715
134,0.8746026139173437
132,0.8746026139173437
105,0.8746026139173437
120,0.8746026139173437
112,0.8746026139173437
124,0.874955845990816
118,0.8753090780642883
128,0.8753090780642883
126,0.8756623101377605
135,0.8756623101377605
125,0.8756623101377605
121,0.8756623101377605
127,0.8756623101377605
136,0.8760155422112328
137,0.8760155422112328
138,0.8760155422112328
139,0.8760155422112328
102,0.8760155422112328
149,0.876368774284705
150,0.8767220063581773
153,0.8770752384316496
145,0.8770752384316496
141,0.8770752384316496
147,0.8774284705051218
142,0.8774284705051218
151,0.8774284705051218
154,0.8774284705051218
143,0.8777817025785941
164,0.8777817025785941
144,0.8777817025785941
156,0.8777817025785941
160,0.8781349346520664
148,0.8781349346520664
152,0.8781349346520664
155,0.8781349346520664
167,0.8781349346520664
165,0.8784881667255386
179,0.8784881667255386
169,0.8784881667255386
168,0.8784881667255386
163,0.8784881667255386
170,0.8784881667255386
140,0.8784881667255386
159,0.8788413987990109
158,0.8788413987990109
198,0.8788413987990109
161,0.8791946308724832
166,0.8791946308724832
205,0.8795478629459554
209,0.8795478629459554
171,0.8799010950194278
162,0.8802543270929001
211,0.8802543270929001
173,0.8802543270929001
146,0.8806075591663723
201,0.8806075591663723
256,0.8806075591663723
174,0.8806075591663723
176,0.8809607912398446
253,0.8809607912398446
208,0.8809607912398446
200,0.8809607912398446
199,0.8809607912398446
157,0.8809607912398446
212,0.8813140233133169
197,0.8813140233133169
196,0.8813140233133169
193,0.8813140233133169
259,0.8813140233133169
233,0.8813140233133169
172,0.8813140233133169
184,0.8813140233133169
183,0.8813140233133169
175,0.8813140233133169
213,0.8816672553867891
277,0.8816672553867891
182,0.8816672553867891
190,0.8816672553867891
207,0.8816672553867891
206,0.8820204874602614
266,0.8820204874602614
278,0.8820204874602614
236,0.8820204874602614
180,0.8820204874602614
251,0.8823737195337337
210,0.8823737195337337
189,0.8823737195337337
181,0.8823737195337337
260,0.8823737195337337
204,0.8823737195337337
203,0.8827269516072059
254,0.8827269516072059
177,0.8827269516072059
194,0.8827269516072059
249,0.8827269516072059
192,0.8827269516072059
262,0.8830801836806782
248,0.8830801836806782
247,0.8830801836806782
250,0.8830801836806782
188,0.8830801836806782
191,0.8830801836806782
178,0.8830801836806782
225,0.8834334157541505
258,0.8834334157541505
257,0.8834334157541505
279,0.8834334157541505
261,0.8834334157541505
186,0.8834334157541505
265,0.8834334157541505
268,0.8834334157541505
269,0.8834334157541505
187,0.8837866478276227
216,0.8837866478276227
215,0.8837866478276227
214,0.8837866478276227
234,0.8837866478276227
246,0.8837866478276227
255,0.8837866478276227
252,0.8837866478276227
245,0.8837866478276227
202,0.884139879901095
195,0.884139879901095
276,0.884139879901095
270,0.884139879901095
272,0.884139879901095
220,0.884139879901095
238,0.884139879901095
267,0.884139879901095
240,0.884139879901095
239,0.8844931119745673
235,0.8844931119745673
244,0.8844931119745673
241,0.8844931119745673
280,0.8844931119745673
291,0.8844931119745673
386,0.8844931119745673
439,0.8844931119745673
263,0.8844931119745673
243,0.8844931119745673
185,0.8848463440480395
264,0.8848463440480395
242,0.8848463440480395
228,0.8848463440480395
230,0.8848463440480395
275,0.8851995761215118
218,0.8851995761215118
387,0.8851995761215118
232,0.8851995761215118
271,0.8851995761215118
281,0.8851995761215118
389,0.8851995761215118
226,0.885552808194984
435,0.885552808194984
394,0.885552808194984
227,0.885552808194984
339,0.885552808194984
390,0.885552808194984
274,0.885552808194984
273,0.885552808194984
326,0.885552808194984
388,0.8859060402684564
438,0.8859060402684564
224,0.8859060402684564
288,0.8859060402684564
307,0.8859060402684564
237,0.8859060402684564
229,0.8859060402684564
219,0.8859060402684564
333,0.8859060402684564
381,0.8862592723419287
428,0.8862592723419287
328,0.8862592723419287
385,0.8862592723419287
217,0.8862592723419287
436,0.8862592723419287
231,0.8862592723419287
292,0.8862592723419287
345,0.8862592723419287
395,0.8862592723419287
296,0.8862592723419287
418,0.886612504415401
437,0.886612504415401
336,0.886612504415401
429,0.886612504415401
323,0.886612504415401
398,0.886612504415401
330,0.886612504415401
223,0.886612504415401
303,0.886612504415401
383,0.886612504415401
285,0.886612504415401
349,0.886612504415401
340,0.886612504415401
434,0.8869657364888732
329,0.8869657364888732
331,0.8869657364888732
399,0.8869657364888732
338,0.8869657364888732
485,0.8869657364888732
384,0.8869657364888732
404,0.8869657364888732
374,0.8869657364888732
221,0.8869657364888732
290,0.8869657364888732
427,0.8873189685623455
344,0.8873189685623455
334,0.8873189685623455
341,0.8873189685623455
284,0.8873189685623455
357,0.8873189685623455
363,0.8873189685623455
442,0.8873189685623455
409,0.8873189685623455
449,0.8873189685623455
393,0.8873189685623455
353,0.8873189685623455
354,0.8876722006358178
417,0.8876722006358178
373,0.8876722006358178
378,0.8876722006358178
405,0.8876722006358178
401,0.8876722006358178
348,0.8876722006358178
347,0.8876722006358178
445,0.8876722006358178
430,0.8876722006358178
337,0.8876722006358178
335,0.8876722006358178
283,0.8876722006358178
313,0.8876722006358178
321,0.8876722006358178
289,0.8876722006358178
293,0.8876722006358178
294,0.8876722006358178
375,0.88802543270929
411,0.88802543270929
396,0.88802543270929
308,0.88802543270929
379,0.88802543270929
446,0.88802543270929
297,0.88802543270929
474,0.88802543270929
484,0.88802543270929
311,0.88802543270929
287,0.88802543270929
487,0.88802543270929
282,0.88802543270929
447,0.88802543270929
346,0.88802543270929
413,0.88802543270929
370,0.88802543270929
432,0.88802543270929
433,0.88802543270929
325,0.88802543270929
320,0.88802543270929
423,0.88802543270929
318,0.88802543270929
414,0.88802543270929
421,0.88802543270929
364,0.88802543270929
419,0.88802543270929
314,0.88802543270929
367,0.88802543270929
416,0.88802543270929
420,0.88802543270929
360,0.88802543270929
452,0.8883786647827623
466,0.8883786647827623
468,0.8883786647827623
441,0.8883786647827623
424,0.8883786647827623
425,0.8883786647827623
426,0.8883786647827623
444,0.8883786647827623
490,0.8883786647827623
222,0.8883786647827623
392,0.8883786647827623
342,0.8883786647827623
361,0.8883786647827623
365,0.8883786647827623
366,0.8883786647827623
368,0.8883786647827623
319,0.8883786647827623
315,0.8883786647827623
372,0.8883786647827623
350,0.8883786647827623
300,0.8883786647827623
355,0.8883786647827623
299,0.8883786647827623
298,0.8883786647827623
382,0.8883786647827623
286,0.8883786647827623
391,0.8883786647827623
302,0.8887318968562345
475,0.8887318968562345
483,0.8887318968562345
440,0.8887318968562345
489,0.8887318968562345
324,0.8887318968562345
332,0.8887318968562345
491,0.8887318968562345
431,0.8887318968562345
469,0.8887318968562345
305,0.8887318968562345
304,0.8887318968562345
499,0.8887318968562345
400,0.8887318968562345
402,0.8887318968562345
422,0.8887318968562345
410,0.8887318968562345
371,0.8887318968562345
352,0.8890851289297068
465,0.8890851289297068
301,0.8890851289297068
377,0.8890851289297068
471,0.8890851289297068
472,0.8890851289297068
473,0.8890851289297068
408,0.8890851289297068
407,0.8890851289297068
479,0.8890851289297068
481,0.8890851289297068
482,0.8890851289297068
406,0.8890851289297068
295,0.8890851289297068
486,0.8890851289297068
403,0.8890851289297068
493,0.8890851289297068
458,0.8890851289297068
453,0.8890851289297068
351,0.8890851289297068
463,0.8890851289297068
415,0.8890851289297068
376,0.8890851289297068
356,0.8890851289297068
316,0.8890851289297068
448,0.8890851289297068
327,0.8890851289297068
362,0.8890851289297068
312,0.8890851289297068
397,0.8890851289297068
322,0.8894383610031791
317,0.8894383610031791
359,0.8894383610031791
343,0.8894383610031791
495,0.8894383610031791
496,0.8894383610031791
480,0.8894383610031791
443,0.8894383610031791
454,0.8894383610031791
309,0.8894383610031791
456,0.8894383610031791
310,0.8894383610031791
460,0.8894383610031791
476,0.8894383610031791
306,0.8894383610031791
455,0.8897915930766513
451,0.8897915930766513
412,0.8897915930766513
459,0.8897915930766513
477,0.8897915930766513
369,0.8897915930766513
450,0.8897915930766513
467,0.8897915930766513
488,0.8897915930766513
380,0.8901448251501236
358,0.8901448251501236
498,0.8901448251501236
462,0.8901448251501236
461,0.8904980572235959
492,0.8904980572235959
464,0.8908512892970681
457,0.8908512892970681
494,0.8908512892970681
497,0.8908512892970681
470,0.8912045213705404
478,0.8915577534440127
